,Unnamed: 0,Nama,Lembaga,Unit Kerja,Jabatan,Tanggal Lapor,Jenis Lapor,Kekayaan
0,0,RIRIN HERINI EVILISTYANI,PEMERINTAH DAERAH D.I. YOGYAKARTA,BADAN PERENCANAAN PEMBANGUNAN DAERAH,KEPALA SEKSI DATA DAN STATISTIK,31 Desember 2022,Periodik,486228068
1,1,YUSTINUS KELIEK MULYONO,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI DEMOKRASI INDONESIA PERJUANGAN,ANGGOTA DPRD,31 Desember 2022,Periodik,428916285
2,2,TANTRI AMBARSARI,PEMERINTAH PROVINSI JAWA TENGAH,DINAS PENDIDIKAN DAN KEBUDAYAAN,KEPALA SMA NEGERI 1 JOGONALAN,31 Desember 2022,Periodik,2854619082
3,3,RAHMAT SETYAJI,BADAN PEMERIKSA KEUANGAN (BPK-RI),BPK PERWAKILAN PROVINSI JAWA TIMUR,PEMERIKSA AHLI PERTAMA/ PERTAMA,31 Desember 2022,Periodik,304450621
4,4,RADEN HENDRI GUSAPTONO,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN YOGYAKARTA,SEKRETARIS JURUSAN MANAJEMEN,31 Desember 2021,Periodik,2089000000
5,5,RADEN RORO SITI ASTUTI,KEMENTERIAN PERTANIAN,BADAN PENYULUHAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA PERTANIAN,PEJABAT PEMBUAT KOMITMEN,31 Desember 2022,Periodik,383600000
6,6,OKTIANA DWI ASTUTI,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),BALAI BESAR POM YOGYAKARTA,PENYIDIK PEGAWAI NEGERI SIPIL,31 Desember 2022,Periodik,506616568
7,7,MARZHA TWEEDO DIKKY PARAANUGRAH,MAHKAMAH AGUNG,PENGADILAN TINGGI PALU,HAKIM,31 Desember 2022,Periodik,205000000
8,8,ELLA GUNADIA RATNA DEWI,KEJAKSAAN REPUBLIK INDONESIA,KEJAKSAAN TINGGI D.I. YOGYAKARTA,JAKSA FUNGSIONAL,31 Desember 2022,Periodik,-56720969
9,9,DIAN RAHMAWATI,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,KANTOR WILAYAH KEMENTERIAN HUKUM DAN HAM JAWA TENGAH,BENDAHARA DAN/ATAU PEJABAT PENGELOLA KEUANGAN,31 Desember 2022,Periodik,-69819500
10,10,IMAM SUTOPO,KEJAKSAAN REPUBLIK INDONESIA,KEJAKSAAN TINGGI MALUKU UTARA,KOORDINATOR,31 Desember 2022,Periodik,1618000000
11,11,RUDI ANANTA WIJAYA,MAHKAMAH AGUNG,PENGADILAN TINGGI SEMARANG,HAKIM,31 Desember 2022,Periodik,2241454200
12,12,RETNO DYAH PARWITASARI,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,KETUA SATUAN PENGAWAS INTERNAL,31 Desember 2022,Periodik,3598295173
13,13,NANANG KRISTANTO,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,SEKRETARIAT JENDERAL DEWAN ENERGI NASIONAL,PERENCANA AHLI MUDA,10 Desember 2022,"Khusus, Awal Menjabat",1039447076
14,14,DWI YUDIANTARI,PEMERINTAH PROVINSI JAWA TENGAH,INSPEKTORAT DAERAH,AUDITOR,31 Desember 2022,Periodik,243300000
15,15,MUHAMAD IQBAL FELANI,PT PERUSAHAAN LISTRIK NEGARA (PERSERO),PUSLITBANG,MANAGER PERENCANAAN,31 Desember 2022,Periodik,2208409732
16,16,FERA MIA ROSA,PT BANK BPD DIY,"DESK KREDIT MIKRO, KECIL DAN KONSUMER",PEMIMPIN DESK,31 Desember 2021,"Khusus, Awal Menjabat",1207796535
17,17,CAHYA WIDI,PT BANK BPD DIY,WAKIL PIMPINAN,DIREKTUR UMUM,31 Oktober 2022,"Khusus, Akhir Menjabat",27482847194
18,18,NUR MUSLIMAH,KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI),KEPOLISIAN DAERAH D. I. YOGYAKARTA,KEPALA URUSAN KEUANGAN (BENDAHARA),31 Desember 2021,Periodik,370800000
